oni,season,year,rossby_amplitude,nao_shift,t_anom_nao,t_anom_direct,t_anom_strat,t_anom_total,background_c,t_anom_plus_bg,p_anom_mm,month
0.73,JJA,1991,0.1074,-0.043,0.026,0.036,0.001,0.064,0.48,0.544,-2.2,7
0.64,JJA,1991,0.0942,-0.0377,0.023,0.032,0.001,0.056,0.48,0.536,-1.9,8
0.62,SON,1991,0.1642,-0.0657,0.039,0.031,0.002,0.072,0.48,0.552,0.8,9
0.79,SON,1991,0.2092,-0.0837,0.05,0.04,0.003,0.092,0.48,0.572,1.1,10
1.21,SON,1991,0.3205,-0.1282,0.077,0.06,0.004,0.141,0.48,0.621,1.6,11
1.53,DJF,1991,0.9006,-0.3602,0.216,0.077,0.065,0.357,0.48,0.837,3.0,12
1.71,DJF,1992,1.0065,-0.4026,0.242,0.086,0.072,0.4,0.51,0.91,3.4,1
1.63,DJF,1992,0.9594,-0.3838,0.23,0.082,0.069,0.381,0.51,0.891,3.2,2
1.48,MAM,1992,0.4791,-0.1916,0.115,0.074,0.006,0.195,0.51,0.705,6.5,3
1.29,MAM,1992,0.4176,-0.167,0.1,0.065,0.005,0.17,0.51,0.68,5.7,4
1.06,MAM,1992,0.3432,-0.1373,0.082,0.053,0.004,0.139,0.51,0.649,4.7,5
0.73,JJA,1992,0.1074,-0.043,0.026,0.036,0.001,0.064,0.51,0.574,-2.2,6
0.37,JJA,1992,0.0544,-0.0218,0.013,0.018,0.001,0.032,0.51,0.542,-1.1,7
0.09,JJA,1992,0.0132,-0.0053,0.003,0.004,0.0,0.008,0.51,0.518,-0.3,8
-0.13,SON,1992,-0.0344,0.0138,-0.008,-0.007,-0.0,-0.015,0.51,0.495,-0.2,9
-0.25,SON,1992,-0.0662,0.0265,-0.016,-0.013,-0.001,-0.029,0.51,0.481,-0.3,10
-0.28,SON,1992,-0.0742,0.0297,-0.018,-0.014,-0.001,-0.033,0.51,0.477,-0.4,11
-0.13,DJF,1992,-0.0765,0.0306,-0.018,-0.007,-0.006,-0.03,0.51,0.48,-0.3,12
0.09,DJF,1993,0.053,-0.0212,0.013,0.004,0.004,0.021,0.54,0.561,0.2,1
0.3,DJF,1993,0.1766,-0.0706,0.042,0.015,0.013,0.07,0.54,0.61,0.6,2
0.5,MAM,1993,0.1619,-0.0647,0.039,0.025,0.002,0.066,0.54,0.606,2.2,3
0.67,MAM,1993,0.2169,-0.0868,0.052,0.034,0.003,0.088,0.54,0.628,2.9,4
0.7,MAM,1993,0.2266,-0.0906,0.054,0.035,0.003,0.092,0.54,0.632,3.1,5
0.57,JJA,1993,0.0839,-0.0336,0.02,0.028,0.001,0.05,0.54,0.59,-1.7,6
0.32,JJA,1993,0.0471,-0.0188,0.011,0.016,0.001,0.028,0.54,0.568,-1.0,7
0.25,JJA,1993,0.0368,-0.0147,0.009,0.013,0.0,0.022,0.54,0.562,-0.8,8
0.15,SON,1993,0.0397,-0.0159,0.01,0.007,0.0,0.018,0.54,0.558,0.2,9
0.1,SON,1993,0.0265,-0.0106,0.006,0.005,0.0,0.012,0.54,0.552,0.1,10
0.04,SON,1993,0.0106,-0.0042,0.003,0.002,0.0,0.005,0.54,0.545,0.1,11
0.06,DJF,1993,0.0353,-0.0141,0.008,0.003,0.003,0.014,0.54,0.554,0.1,12
0.06,DJF,1994,0.0353,-0.0141,0.008,0.003,0.003,0.014,0.57,0.584,0.1,1
0.07,DJF,1994,0.0412,-0.0165,0.01,0.004,0.003,0.016,0.57,0.586,0.1,2
0.17,MAM,1994,0.055,-0.022,0.013,0.009,0.001,0.022,0.57,0.592,0.7,3
0.31,MAM,1994,0.1004,-0.0401,0.024,0.015,0.001,0.041,0.57,0.611,1.4,4
0.42,MAM,1994,0.136,-0.0544,0.033,0.021,0.002,0.055,0.57,0.625,1.8,5
0.41,JJA,1994,0.0603,-0.0241,0.014,0.021,0.001,0.036,0.57,0.606,-1.2,6
0.44,JJA,1994,0.0647,-0.0259,0.016,0.022,0.001,0.038,0.57,0.608,-1.3,7
0.43,JJA,1994,0.0633,-0.0253,0.015,0.022,0.001,0.037,0.57,0.607,-1.3,8
0.55,SON,1994,0.1457,-0.0583,0.035,0.028,0.002,0.064,0.57,0.634,0.7,9
0.74,SON,1994,0.196,-0.0784,0.047,0.037,0.002,0.086,0.57,0.656,1.0,10
1.01,SON,1994,0.2675,-0.107,0.064,0.051,0.003,0.118,0.57,0.688,1.4,11
1.09,DJF,1994,0.6416,-0.2566,0.154,0.055,0.046,0.255,0.57,0.825,2.2,12
0.96,DJF,1995,0.5651,-0.226,0.136,0.048,0.041,0.224,0.6,0.824,1.9,1
0.72,DJF,1995,0.4238,-0.1695,0.102,0.036,0.031,0.168,0.6,0.768,1.4,2
0.53,MAM,1995,0.1716,-0.0686,0.041,0.027,0.002,0.07,0.6,0.67,2.3,3
0.3,MAM,1995,0.0971,-0.0388,0.023,0.015,0.001,0.039,0.6,0.639,1.3,4
0.14,MAM,1995,0.0453,-0.0181,0.011,0.007,0.001,0.018,0.6,0.618,0.6,5
-0.03,JJA,1995,-0.0044,0.0018,-0.001,-0.002,-0.0,-0.003,0.6,0.597,0.1,6
-0.24,JJA,1995,-0.0353,0.0141,-0.008,-0.012,-0.0,-0.021,0.6,0.579,0.7,7
-0.54,JJA,1995,-0.0795,0.0318,-0.019,-0.027,-0.001,-0.047,0.6,0.553,1.6,8
-0.81,SON,1995,-0.2145,0.0858,-0.051,-0.041,-0.003,-0.095,0.6,0.505,-1.1,9
-0.97,SON,1995,-0.2569,0.1028,-0.062,-0.049,-0.003,-0.113,0.6,0.487,-1.3,10
-1.0,SON,1995,-0.2649,0.1059,-0.064,-0.05,-0.003,-0.117,0.6,0.483,-1.4,11
-0.98,DJF,1995,-0.5768,0.2307,-0.138,-0.049,-0.042,-0.229,0.6,0.371,-1.9,12
-0.9,DJF,1996,-0.5297,0.2119,-0.127,-0.045,-0.038,-0.21,0.63,0.42,-1.8,1
-0.75,DJF,1996,-0.4415,0.1766,-0.106,-0.038,-0.032,-0.175,0.63,0.455,-1.5,2
-0.59,MAM,1996,-0.191,0.0764,-0.046,-0.029,-0.002,-0.078,0.63,0.552,-2.6,3
-0.39,MAM,1996,-0.1263,0.0505,-0.03,-0.02,-0.002,-0.051,0.63,0.579,-1.7,4
-0.31,MAM,1996,-0.1004,0.0401,-0.024,-0.015,-0.001,-0.041,0.63,0.589,-1.4,5
-0.3,JJA,1996,-0.0441,0.0177,-0.011,-0.015,-0.001,-0.026,0.63,0.604,0.9,6
-0.27,JJA,1996,-0.0397,0.0159,-0.01,-0.014,-0.0,-0.024,0.63,0.606,0.8,7
-0.32,JJA,1996,-0.0471,0.0188,-0.011,-0.016,-0.001,-0.028,0.63,0.602,1.0,8
-0.35,SON,1996,-0.0927,0.0371,-0.022,-0.017,-0.001,-0.041,0.63,0.589,-0.5,9
-0.4,SON,1996,-0.1059,0.0424,-0.025,-0.02,-0.001,-0.047,0.63,0.583,-0.5,10
-0.45,SON,1996,-0.1192,0.0477,-0.029,-0.023,-0.001,-0.053,0.63,0.577,-0.6,11
-0.49,DJF,1996,-0.2884,0.1154,-0.069,-0.025,-0.021,-0.114,0.63,0.516,-1.0,12
-0.5,DJF,1997,-0.2943,0.1177,-0.071,-0.025,-0.021,-0.117,0.66,0.543,-1.0,1
-0.36,DJF,1997,-0.2119,0.0848,-0.051,-0.018,-0.015,-0.084,0.66,0.576,-0.7,2
-0.1,MAM,1997,-0.0324,0.0129,-0.008,-0.005,-0.0,-0.013,0.66,0.647,-0.4,3
0.28,MAM,1997,0.0906,-0.0363,0.022,0.014,0.001,0.037,0.66,0.697,1.2,4
0.75,MAM,1997,0.2428,-0.0971,0.058,0.038,0.003,0.099,0.66,0.759,3.3,5
1.22,JJA,1997,0.1795,-0.0718,0.043,0.061,0.002,0.106,0.66,0.766,-3.7,6
1.6,JJA,1997,0.2354,-0.0942,0.057,0.08,0.003,0.139,0.66,0.799,-4.8,7
1.9,JJA,1997,0.2796,-0.1118,0.067,0.095,0.003,0.165,0.66,0.825,-5.7,8
2.14,SON,1997,0.5668,-0.2267,0.136,0.107,0.007,0.25,0.66,0.91,2.9,9
2.33,SON,1997,0.6172,-0.2469,0.148,0.117,0.007,0.272,0.66,0.932,3.1,10
2.4,SON,1997,0.6357,-0.2543,0.153,0.12,0.008,0.28,0.66,0.94,3.2,11
2.39,DJF,1997,1.4068,-0.5627,0.338,0.12,0.101,0.558,0.66,1.218,4.7,12
2.24,DJF,1998,1.3185,-0.5274,0.316,0.112,0.095,0.523,0.69,1.213,4.4,1
1.93,DJF,1998,1.136,-0.4544,0.273,0.097,0.082,0.451,0.69,1.141,3.8,2
1.44,MAM,1998,0.4662,-0.1865,0.112,0.072,0.006,0.189,0.69,0.879,6.3,3
0.99,MAM,1998,0.3205,-0.1282,0.077,0.05,0.004,0.13,0.69,0.82,4.4,4
0.45,MAM,1998,0.1457,-0.0583,0.035,0.023,0.002,0.059,0.69,0.749,2.0,5
-0.13,JJA,1998,-0.0191,0.0077,-0.005,-0.007,-0.0,-0.011,0.69,0.679,0.4,6
-0.78,JJA,1998,-0.1148,0.0459,-0.028,-0.039,-0.001,-0.068,0.69,0.622,2.3,7
-1.12,JJA,1998,-0.1648,0.0659,-0.04,-0.056,-0.002,-0.098,0.69,0.592,3.4,8
-1.31,SON,1998,-0.347,0.1388,-0.083,-0.066,-0.004,-0.153,0.69,0.537,-1.8,9
-1.35,SON,1998,-0.3576,0.143,-0.086,-0.068,-0.004,-0.158,0.69,0.532,-1.8,10
-1.48,SON,1998,-0.392,0.1568,-0.094,-0.074,-0.005,-0.173,0.69,0.517,-2.0,11
-1.57,DJF,1998,-0.9241,0.3696,-0.222,-0.079,-0.067,-0.367,0.69,0.323,-3.1,12
-1.55,DJF,1999,-0.9123,0.3649,-0.219,-0.078,-0.066,-0.362,0.72,0.358,-3.1,1
-1.3,DJF,1999,-0.7652,0.3061,-0.184,-0.065,-0.055,-0.304,0.72,0.416,-2.6,2
-1.07,MAM,1999,-0.3464,0.1386,-0.083,-0.054,-0.004,-0.141,0.72,0.579,-4.7,3
-0.98,MAM,1999,-0.3173,0.1269,-0.076,-0.049,-0.004,-0.129,0.72,0.591,-4.3,4
-1.02,MAM,1999,-0.3302,0.1321,-0.079,-0.051,-0.004,-0.134,0.72,0.586,-4.5,5
-1.04,JJA,1999,-0.153,0.0612,-0.037,-0.052,-0.002,-0.091,0.72,0.629,3.1,6
-1.1,JJA,1999,-0.1619,0.0647,-0.039,-0.055,-0.002,-0.096,0.72,0.624,3.3,7
-1.11,JJA,1999,-0.1633,0.0653,-0.039,-0.056,-0.002,-0.097,0.72,0.623,3.3,8
-1.16,SON,1999,-0.3073,0.1229,-0.074,-0.058,-0.004,-0.135,0.72,0.585,-1.6,9
-1.26,SON,1999,-0.3337,0.1335,-0.08,-0.063,-0.004,-0.147,0.72,0.573,-1.7,10
-1.46,SON,1999,-0.3867,0.1547,-0.093,-0.073,-0.005,-0.17,0.72,0.55,-2.0,11
-1.65,DJF,1999,-0.9712,0.3885,-0.233,-0.083,-0.07,-0.386,0.72,0.334,-3.3,12
-1.66,DJF,2000,-0.9771,0.3908,-0.235,-0.083,-0.07,-0.388,0.75,0.362,-3.3,1
-1.41,DJF,2000,-0.8299,0.332,-0.199,-0.07,-0.06,-0.329,0.75,0.421,-2.8,2
-1.07,MAM,2000,-0.3464,0.1386,-0.083,-0.054,-0.004,-0.141,0.75,0.609,-4.7,3
-0.81,MAM,2000,-0.2622,0.1049,-0.063,-0.041,-0.003,-0.107,0.75,0.643,-3.6,4
-0.71,MAM,2000,-0.2299,0.0919,-0.055,-0.035,-0.003,-0.093,0.75,0.657,-3.1,5
-0.64,JJA,2000,-0.0942,0.0377,-0.023,-0.032,-0.001,-0.056,0.75,0.694,1.9,6
-0.55,JJA,2000,-0.0809,0.0324,-0.019,-0.028,-0.001,-0.048,0.75,0.702,1.7,7
-0.51,JJA,2000,-0.075,0.03,-0.018,-0.026,-0.001,-0.044,0.75,0.706,1.5,8
-0.55,SON,2000,-0.1457,0.0583,-0.035,-0.028,-0.002,-0.064,0.75,0.686,-0.7,9
-0.63,SON,2000,-0.1669,0.0667,-0.04,-0.032,-0.002,-0.074,0.75,0.676,-0.9,10
-0.75,SON,2000,-0.1987,0.0795,-0.048,-0.038,-0.002,-0.088,0.75,0.662,-1.0,11
-0.74,DJF,2000,-0.4356,0.1742,-0.105,-0.037,-0.031,-0.173,0.75,0.577,-1.5,12
-0.68,DJF,2001,-0.4003,0.1601,-0.096,-0.034,-0.029,-0.159,0.78,0.621,-1.4,1
-0.52,DJF,2001,-0.3061,0.1224,-0.073,-0.026,-0.022,-0.121,0.78,0.659,-1.0,2
-0.44,MAM,2001,-0.1424,0.057,-0.034,-0.022,-0.002,-0.058,0.78,0.722,-1.9,3
-0.34,MAM,2001,-0.1101,0.044,-0.026,-0.017,-0.001,-0.045,0.78,0.735,-1.5,4
-0.25,MAM,2001,-0.0809,0.0324,-0.019,-0.013,-0.001,-0.033,0.78,0.747,-1.1,5
-0.12,JJA,2001,-0.0177,0.0071,-0.004,-0.006,-0.0,-0.01,0.78,0.77,0.4,6
-0.08,JJA,2001,-0.0118,0.0047,-0.003,-0.004,-0.0,-0.007,0.78,0.773,0.2,7
-0.13,JJA,2001,-0.0191,0.0077,-0.005,-0.007,-0.0,-0.011,0.78,0.769,0.4,8
-0.19,SON,2001,-0.0503,0.0201,-0.012,-0.01,-0.001,-0.022,0.78,0.758,-0.3,9
-0.29,SON,2001,-0.0768,0.0307,-0.018,-0.014,-0.001,-0.034,0.78,0.746,-0.4,10
-0.35,SON,2001,-0.0927,0.0371,-0.022,-0.017,-0.001,-0.041,0.78,0.739,-0.5,11
-0.31,DJF,2001,-0.1825,0.073,-0.044,-0.015,-0.013,-0.072,0.78,0.708,-0.6,12
-0.15,DJF,2002,-0.0883,0.0353,-0.021,-0.007,-0.006,-0.035,0.81,0.775,-0.3,1
0.03,DJF,2002,0.0177,-0.0071,0.004,0.002,0.001,0.007,0.81,0.817,0.1,2
0.09,MAM,2002,0.0291,-0.0117,0.007,0.004,0.0,0.012,0.81,0.822,0.4,3
0.2,MAM,2002,0.0647,-0.0259,0.016,0.01,0.001,0.026,0.81,0.836,0.9,4
0.43,MAM,2002,0.1392,-0.0557,0.033,0.022,0.002,0.057,0.81,0.867,1.9,5
0.65,JJA,2002,0.0956,-0.0383,0.023,0.033,0.001,0.057,0.81,0.867,-2.0,6
0.79,JJA,2002,0.1162,-0.0465,0.028,0.04,0.001,0.069,0.81,0.879,-2.4,7
0.86,JJA,2002,0.1266,-0.0506,0.03,0.043,0.002,0.075,0.81,0.885,-2.6,8
1.01,SON,2002,0.2675,-0.107,0.064,0.051,0.003,0.118,0.81,0.928,1.4,9
1.21,SON,2002,0.3205,-0.1282,0.077,0.06,0.004,0.141,0.81,0.951,1.6,10
1.31,SON,2002,0.347,-0.1388,0.083,0.066,0.004,0.153,0.81,0.963,1.8,11
1.14,DJF,2002,0.671,-0.2684,0.161,0.057,0.048,0.266,0.81,1.076,2.3,12
0.92,DJF,2003,0.5415,-0.2166,0.13,0.046,0.039,0.215,0.84,1.055,1.8,1
0.63,DJF,2003,0.3708,-0.1483,0.089,0.032,0.027,0.147,0.84,0.987,1.3,2
0.38,MAM,2003,0.123,-0.0492,0.03,0.019,0.001,0.05,0.84,0.89,1.7,3
-0.04,MAM,2003,-0.0129,0.0052,-0.003,-0.002,-0.0,-0.005,0.84,0.835,-0.2,4
-0.26,MAM,2003,-0.0842,0.0337,-0.02,-0.013,-0.001,-0.034,0.84,0.806,-1.1,5
-0.16,JJA,2003,-0.0235,0.0094,-0.006,-0.008,-0.0,-0.014,0.84,0.826,0.5,6
0.08,JJA,2003,0.0118,-0.0047,0.003,0.004,0.0,0.007,0.84,0.847,-0.2,7
0.21,JJA,2003,0.0309,-0.0124,0.007,0.011,0.0,0.018,0.84,0.858,-0.6,8
0.26,SON,2003,0.0689,-0.0275,0.017,0.013,0.001,0.03,0.84,0.87,0.4,9
0.29,SON,2003,0.0768,-0.0307,0.018,0.014,0.001,0.034,0.84,0.874,0.4,10
0.35,SON,2003,0.0927,-0.0371,0.022,0.017,0.001,0.041,0.84,0.881,0.5,11
0.35,DJF,2003,0.206,-0.0824,0.049,0.017,0.015,0.082,0.84,0.922,0.7,12
0.37,DJF,2004,0.2178,-0.0871,0.052,0.018,0.016,0.086,0.87,0.956,0.7,1
0.31,DJF,2004,0.1825,-0.073,0.044,0.015,0.013,0.072,0.87,0.942,0.6,2
0.23,MAM,2004,0.0745,-0.0298,0.018,0.012,0.001,0.03,0.87,0.9,1.0,3
0.17,MAM,2004,0.055,-0.022,0.013,0.009,0.001,0.022,0.87,0.892,0.7,4
0.17,MAM,2004,0.055,-0.022,0.013,0.009,0.001,0.022,0.87,0.892,0.7,5
0.28,JJA,2004,0.0412,-0.0165,0.01,0.014,0.0,0.024,0.87,0.894,-0.8,6
0.47,JJA,2004,0.0692,-0.0277,0.017,0.024,0.001,0.041,0.87,0.911,-1.4,7
0.64,JJA,2004,0.0942,-0.0377,0.023,0.032,0.001,0.056,0.87,0.926,-1.9,8
0.7,SON,2004,0.1854,-0.0742,0.044,0.035,0.002,0.082,0.87,0.952,0.9,9
0.67,SON,2004,0.1775,-0.071,0.043,0.034,0.002,0.078,0.87,0.948,0.9,10
0.66,SON,2004,0.1748,-0.0699,0.042,0.033,0.002,0.077,0.87,0.947,0.9,11
0.69,DJF,2004,0.4061,-0.1625,0.097,0.034,0.029,0.161,0.87,1.031,1.4,12
0.64,DJF,2005,0.3767,-0.1507,0.09,0.032,0.027,0.15,0.9,1.05,1.3,1
0.58,DJF,2005,0.3414,-0.1366,0.082,0.029,0.025,0.136,0.9,1.036,1.2,2
0.45,MAM,2005,0.1457,-0.0583,0.035,0.023,0.002,0.059,0.9,0.959,2.0,3
0.43,MAM,2005,0.1392,-0.0557,0.033,0.022,0.002,0.057,0.9,0.957,1.9,4
0.29,MAM,2005,0.0939,-0.0376,0.023,0.014,0.001,0.038,0.9,0.938,1.3,5
0.11,JJA,2005,0.0162,-0.0065,0.004,0.006,0.0,0.01,0.9,0.91,-0.3,6
-0.06,JJA,2005,-0.0088,0.0035,-0.002,-0.003,-0.0,-0.005,0.9,0.895,0.2,7
-0.14,JJA,2005,-0.0206,0.0082,-0.005,-0.007,-0.0,-0.012,0.9,0.888,0.4,8
-0.11,SON,2005,-0.0291,0.0117,-0.007,-0.006,-0.0,-0.013,0.9,0.887,-0.1,9
-0.29,SON,2005,-0.0768,0.0307,-0.018,-0.014,-0.001,-0.034,0.9,0.866,-0.4,10
-0.57,SON,2005,-0.151,0.0604,-0.036,-0.028,-0.002,-0.067,0.9,0.833,-0.8,11
-0.84,DJF,2005,-0.4944,0.1978,-0.119,-0.042,-0.036,-0.196,0.9,0.704,-1.7,12
-0.85,DJF,2006,-0.5003,0.2001,-0.12,-0.043,-0.036,-0.199,0.93,0.731,-1.7,1
-0.77,DJF,2006,-0.4532,0.1813,-0.109,-0.039,-0.033,-0.18,0.93,0.75,-1.5,2
-0.57,MAM,2006,-0.1845,0.0738,-0.044,-0.028,-0.002,-0.075,0.93,0.855,-2.5,3
-0.37,MAM,2006,-0.1198,0.0479,-0.029,-0.018,-0.001,-0.049,0.93,0.881,-1.6,4
-0.14,MAM,2006,-0.0453,0.0181,-0.011,-0.007,-0.001,-0.018,0.93,0.912,-0.6,5
-0.03,JJA,2006,-0.0044,0.0018,-0.001,-0.002,-0.0,-0.003,0.93,0.927,0.1,6
0.1,JJA,2006,0.0147,-0.0059,0.004,0.005,0.0,0.009,0.93,0.939,-0.3,7
0.3,JJA,2006,0.0441,-0.0177,0.011,0.015,0.001,0.026,0.93,0.956,-0.9,8
0.54,SON,2006,0.143,-0.0572,0.034,0.027,0.002,0.063,0.93,0.993,0.7,9
0.77,SON,2006,0.204,-0.0816,0.049,0.039,0.002,0.09,0.93,1.02,1.0,10
0.94,SON,2006,0.249,-0.0996,0.06,0.047,0.003,0.11,0.93,1.04,1.3,11
0.94,DJF,2006,0.5533,-0.2213,0.133,0.047,0.04,0.22,0.93,1.15,1.9,12
0.66,DJF,2007,0.3885,-0.1554,0.093,0.033,0.028,0.154,0.96,1.114,1.3,1
0.22,DJF,2007,0.1295,-0.0518,0.031,0.011,0.009,0.051,0.96,1.011,0.4,2
-0.12,MAM,2007,-0.0388,0.0155,-0.009,-0.006,-0.0,-0.016,0.96,0.944,-0.5,3
-0.32,MAM,2007,-0.1036,0.0414,-0.025,-0.016,-0.001,-0.042,0.96,0.918,-1.4,4
-0.38,MAM,2007,-0.123,0.0492,-0.03,-0.019,-0.001,-0.05,0.96,0.91,-1.7,5
-0.47,JJA,2007,-0.0692,0.0277,-0.017,-0.024,-0.001,-0.041,0.96,0.919,1.4,6
-0.56,JJA,2007,-0.0824,0.033,-0.02,-0.028,-0.001,-0.049,0.96,0.911,1.7,7
-0.81,JJA,2007,-0.1192,0.0477,-0.029,-0.041,-0.001,-0.071,0.96,0.889,2.4,8
-1.07,SON,2007,-0.2834,0.1134,-0.068,-0.054,-0.003,-0.125,0.96,0.835,-1.4,9
-1.34,SON,2007,-0.3549,0.142,-0.085,-0.067,-0.004,-0.156,0.96,0.804,-1.8,10
-1.5,SON,2007,-0.3973,0.1589,-0.095,-0.075,-0.005,-0.175,0.96,0.785,-2.0,11
-1.6,DJF,2007,-0.9418,0.3767,-0.226,-0.08,-0.068,-0.374,0.96,0.586,-3.2,12
-1.64,DJF,2008,-0.9653,0.3861,-0.232,-0.082,-0.07,-0.383,0.99,0.607,-3.3,1
-1.52,DJF,2008,-0.8947,0.3579,-0.215,-0.076,-0.064,-0.355,0.99,0.635,-3.0,2
-1.29,MAM,2008,-0.4176,0.167,-0.1,-0.065,-0.005,-0.17,0.99,0.82,-5.7,3
-1.01,MAM,2008,-0.327,0.1308,-0.078,-0.051,-0.004,-0.133,0.99,0.857,-4.4,4
-0.84,MAM,2008,-0.2719,0.1088,-0.065,-0.042,-0.003,-0.111,0.99,0.879,-3.7,5
-0.61,JJA,2008,-0.0898,0.0359,-0.022,-0.03,-0.001,-0.053,0.99,0.937,1.8,6
-0.37,JJA,2008,-0.0544,0.0218,-0.013,-0.018,-0.001,-0.032,0.99,0.958,1.1,7
-0.23,JJA,2008,-0.0338,0.0135,-0.008,-0.012,-0.0,-0.02,0.99,0.97,0.7,8
-0.24,SON,2008,-0.0636,0.0254,-0.015,-0.012,-0.001,-0.028,0.99,0.962,-0.3,9
-0.35,SON,2008,-0.0927,0.0371,-0.022,-0.017,-0.001,-0.041,0.99,0.949,-0.5,10
-0.55,SON,2008,-0.1457,0.0583,-0.035,-0.028,-0.002,-0.064,0.99,0.926,-0.7,11
-0.73,DJF,2008,-0.4297,0.1719,-0.103,-0.036,-0.031,-0.171,0.99,0.819,-1.4,12
-0.85,DJF,2009,-0.5003,0.2001,-0.12,-0.043,-0.036,-0.199,1.02,0.821,-1.7,1
-0.79,DJF,2009,-0.465,0.186,-0.112,-0.04,-0.033,-0.185,1.02,0.835,-1.6,2
-0.61,MAM,2009,-0.1975,0.079,-0.047,-0.03,-0.002,-0.08,1.02,0.94,-2.7,3
-0.33,MAM,2009,-0.1068,0.0427,-0.026,-0.017,-0.001,-0.043,1.02,0.977,-1.5,4
0.01,MAM,2009,0.0032,-0.0013,0.001,0.001,0.0,0.001,1.02,1.021,0.0,5
0.28,JJA,2009,0.0412,-0.0165,0.01,0.014,0.0,0.024,1.02,1.044,-0.8,6
0.45,JJA,2009,0.0662,-0.0265,0.016,0.023,0.001,0.039,1.02,1.059,-1.4,7
0.58,JJA,2009,0.0853,-0.0341,0.02,0.029,0.001,0.051,1.02,1.071,-1.7,8
0.71,SON,2009,0.1881,-0.0752,0.045,0.035,0.002,0.083,1.02,1.103,1.0,9
1.01,SON,2009,0.2675,-0.107,0.064,0.051,0.003,0.118,1.02,1.138,1.4,10
1.36,SON,2009,0.3602,-0.1441,0.086,0.068,0.004,0.159,1.02,1.179,1.8,11
1.56,DJF,2009,0.9182,-0.3673,0.22,0.078,0.066,0.364,1.02,1.384,3.1,12
1.5,DJF,2010,0.8829,-0.3532,0.212,0.075,0.064,0.35,1.05,1.4,3.0,1
1.22,DJF,2010,0.7181,-0.2872,0.172,0.061,0.052,0.285,1.05,1.335,2.4,2
0.84,MAM,2010,0.2719,-0.1088,0.065,0.042,0.003,0.111,1.05,1.161,3.7,3
0.35,MAM,2010,0.1133,-0.0453,0.027,0.017,0.001,0.046,1.05,1.096,1.5,4
-0.17,MAM,2010,-0.055,0.022,-0.013,-0.009,-0.001,-0.022,1.05,1.028,-0.7,5
-0.66,JJA,2010,-0.0971,0.0388,-0.023,-0.033,-0.001,-0.057,1.05,0.993,2.0,6
-1.05,JJA,2010,-0.1545,0.0618,-0.037,-0.053,-0.002,-0.091,1.05,0.959,3.2,7
-1.35,JJA,2010,-0.1987,0.0795,-0.048,-0.068,-0.002,-0.118,1.05,0.932,4.1,8
-1.56,SON,2010,-0.4132,0.1653,-0.099,-0.078,-0.005,-0.182,1.05,0.868,-2.1,9
-1.64,SON,2010,-0.4344,0.1738,-0.104,-0.082,-0.005,-0.191,1.05,0.859,-2.2,10
-1.64,SON,2010,-0.4344,0.1738,-0.104,-0.082,-0.005,-0.191,1.05,0.859,-2.2,11
-1.54,DJF,2010,-0.9065,0.3626,-0.218,-0.077,-0.065,-0.36,1.05,0.69,-3.1,12
-1.31,DJF,2011,-0.7711,0.3084,-0.185,-0.066,-0.056,-0.306,1.08,0.774,-2.6,1
-1.04,DJF,2011,-0.6121,0.2449,-0.147,-0.052,-0.044,-0.243,1.08,0.837,-2.1,2
-0.8,MAM,2011,-0.259,0.1036,-0.062,-0.04,-0.003,-0.105,1.08,0.975,-3.5,3
-0.62,MAM,2011,-0.2007,0.0803,-0.048,-0.031,-0.002,-0.082,1.08,0.998,-2.7,4
-0.46,MAM,2011,-0.1489,0.0596,-0.036,-0.023,-0.002,-0.061,1.08,1.019,-2.0,5
-0.37,JJA,2011,-0.0544,0.0218,-0.013,-0.018,-0.001,-0.032,1.08,1.048,1.1,6
-0.43,JJA,2011,-0.0633,0.0253,-0.015,-0.022,-0.001,-0.037,1.08,1.043,1.3,7
-0.58,JJA,2011,-0.0853,0.0341,-0.02,-0.029,-0.001,-0.051,1.08,1.029,1.7,8
-0.79,SON,2011,-0.2092,0.0837,-0.05,-0.04,-0.003,-0.092,1.08,0.988,-1.1,9
-0.96,SON,2011,-0.2543,0.1017,-0.061,-0.048,-0.003,-0.112,1.08,0.968,-1.3,10
-1.02,SON,2011,-0.2702,0.1081,-0.065,-0.051,-0.003,-0.119,1.08,0.961,-1.4,11
-0.92,DJF,2011,-0.5415,0.2166,-0.13,-0.046,-0.039,-0.215,1.08,0.865,-1.8,12
-0.72,DJF,2012,-0.4238,0.1695,-0.102,-0.036,-0.031,-0.168,1.11,0.942,-1.4,1
-0.57,DJF,2012,-0.3355,0.1342,-0.081,-0.028,-0.024,-0.133,1.11,0.977,-1.1,2
-0.46,MAM,2012,-0.1489,0.0596,-0.036,-0.023,-0.002,-0.061,1.11,1.049,-2.0,3
-0.36,MAM,2012,-0.1165,0.0466,-0.028,-0.018,-0.001,-0.047,1.11,1.063,-1.6,4
-0.17,MAM,2012,-0.055,0.022,-0.013,-0.009,-0.001,-0.022,1.11,1.088,-0.7,5
0.06,JJA,2012,0.0088,-0.0035,0.002,0.003,0.0,0.005,1.11,1.115,-0.2,6
0.3,JJA,2012,0.0441,-0.0177,0.011,0.015,0.001,0.026,1.11,1.136,-0.9,7
0.41,JJA,2012,0.0603,-0.0241,0.014,0.021,0.001,0.036,1.11,1.146,-1.2,8
